Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,297,15,‰Ð_,81,50
Minnesota,294,12,‰Ð_,80,46
New Hampshire,293,11,‰Ð_,81,45
DoDEA,293,11,‰Ð_,83,42
New Jersey,292,10,‰Ð_,76,44
Virginia,290,8,‰Ð_,77,40
Washington,289,7,‰Ð_,75,41
Wyoming,289,7,‰Ð_,79,38
Nebraska,288,6,‰Ð_,76,41
North Dakota,288,6,‰Ð_,78,40
Wisconsin,288,6,‰Ð_,76,39
Ohio,288,6,‰Ð_,74,40
Indiana,288,6,‰Ð_,75,38
Vermont,288,6,‰Ð_,76,39
Utah,287,5,‰Ð_,75,39
Pennsylvania,286,4,‰Ð_,73,38
South Dakota,286,4,‰Ð_,76,38
Colorado,286,4,‰Ð_,74,38
Iowa,286,4,‰Ð_,76,37
Montana,286,4,‰Ð_,76,37
Kansas,285,3,‰Ð_,74,35
Idaho,284,2,‰ª_,74,35
Connecticut,284,2,‰Ð_,72,36
Maine,284,2,‰Ð_,72,36
Texas,282,#,‰ª_,70,33
Arizona,282,#,‰ª_,71,34
Oregon,282,#,‰ª_,70,34
National public,282,‰ÛÊ,,69,33
North Carolina,282,#,‰ª_,68,35
New York,282,#,‰ª_,68,34
Illinois,282,#,‰ª_,68,32
Georgia,281,-1,‰ª_,68,31
Maryland,281,-1,‰ª_,66,33
Missouri,281,-1,‰ª_,70,30
Michigan,280,-2,‰ª_,67,31
Florida,279,-3,‰Ð_,66,29
Tennessee,279,-3,‰Ð_,68,30
Delaware,278,-4,‰Ð_,66,28
Kentucky,278,-4,‰Ð_,65,29
Hawaii,277,-5,‰Ð_,66,27
Rhode Island,277,-5,‰Ð_,66,30
Alaska,277,-5,‰Ð_,66,29
California,277,-5,‰Ð_,62,29
Nevada,275,-7,‰Ð_,62,27
Oklahoma,275,-7,‰Ð_,64,24
South Carolina,275,-7,‰Ð_,62,26
Arkansas,274,-8,‰Ð_,62,25
West Virginia,273,-9,‰Ð_,62,24
Mississippi,271,-11,‰Ð_,59,22
New Mexico,269,-13,‰Ð_,57,20
Alabama,268,-14,‰Ð_,55,21
Louisiana,267,-15,‰Ð_,54,19
District of Columbia,266,-16,‰Ð_,51,21
Puerto Rico,225,-57,‰Ð_,9,#
