Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,280,15,▲,91,51
Massachusetts,278,12,▲,85,49
New Jersey,275,10,▲,82,47
New Hampshire,275,9,▲,84,45
Vermont,273,8,▲,82,45
Connecticut,273,7,▲,80,44
Indiana,272,7,▲,82,41
Washington,272,6,▲,80,42
Colorado,270,5,▲,79,41
Idaho,270,4,▲,81,39
Pennsylvania,270,4,▲,78,40
Wisconsin,269,4,▲,79,39
Wyoming,269,4,▲,80,38
Maine,269,4,▲,79,39
Utah,269,3,▲,79,38
Minnesota,269,3,▲,79,39
Nebraska,269,3,▲,79,38
Ohio,268,3,♦,77,39
Virginia,268,2,♦,77,37
Iowa,268,2,♦,80,37
Kansas,267,2,♦,78,37
South Dakota,267,2,▲,80,36
Maryland,267,2,♦,74,38
Montana,267,2,▲,79,35
Illinois,267,2,♦,77,36
Florida,267,1,♦,77,35
Georgia,266,1,♦,76,35
Oregon,266,1,♦,76,36
Missouri,266,1,♦,77,35
Rhode Island,266,#,♦,75,37
Michigan,265,#,♦,76,34
National public,265,†,,75,35
Kentucky,265,#,♦,75,34
North Dakota,265,#,♦,77,33
New York,264,-1,♦,73,34
Delaware,263,-2,▼,72,33
Arizona,263,-2,▼,75,30
North Carolina,263,-3,▼,74,33
California,263,-3,▼,72,32
Tennessee,262,-3,▼,73,31
Oklahoma,261,-4,▼,74,28
Hawaii,261,-4,▼,72,30
Texas,260,-5,▼,71,28
Arkansas,260,-5,▼,71,29
Nevada,260,-6,▼,71,28
South Carolina,260,-6,▼,71,30
West Virginia,259,-7,▼,70,28
Alabama,258,-8,▼,67,28
Alaska,258,-8,▼,70,26
Louisiana,257,-9,▼,67,25
Mississippi,256,-9,▼,66,25
New Mexico,256,-10,▼,66,24
District of Columbia,247,-19,▼,55,20
Puerto Rico,0,†,,—,—
