Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
New Jersey,175,21,▲,95,56
Connecticut,172,18,▲,92,53
Massachusetts,167,12,▲,93,46
DoDEA,165,11,▲,95,41
Vermont,162,7,▲,89,40
Maine,161,7,▲,90,38
Colorado,161,7,▲,91,38
New Hampshire,160,6,▲,90,39
Illinois,160,6,▲,90,37
Pennsylvania,159,5,▲,91,36
Delaware,158,4,▲,91,34
Florida,158,4,▲,88,36
Wyoming,158,4,▲,91,34
Washington,158,3,▲,88,35
Wisconsin,158,3,▲,89,36
Virginia,157,3,▲,90,31
Montana,157,2,▲,89,33
Kansas,156,2,♦,88,33
Tennessee,156,2,♦,90,30
Ohio,156,2,♦,90,32
Minnesota,156,2,♦,89,32
Indiana,155,#,♦,89,30
Iowa,155,#,♦,88,32
National public,154,†,,87,31
Idaho,154,#,♦,88,29
New York,154,#,♦,87,31
North Dakota,154,#,♦,91,27
Rhode Island,154,#,♦,85,32
Georgia,153,-1,♦,88,29
North Carolina,153,-1,♦,87,29
Missouri,153,-1,♦,89,26
Oklahoma,153,-1,♦,89,26
Utah,152,-2,♦,84,31
Kentucky,151,-3,▼,87,26
Texas,151,-3,▼,86,26
Michigan,151,-3,▼,86,27
Arkansas,151,-4,▼,85,27
Arizona,148,-6,▼,85,23
South Carolina,148,-6,▼,85,23
California,148,-6,▼,83,25
Alabama,148,-7,▼,84,24
Louisiana,147,-8,▼,88,17
West Virginia,146,-8,▼,84,22
Hawaii,144,-11,▼,81,20
Nevada,143,-11,▼,80,21
New Mexico,143,-11,▼,82,17
Mississippi,142,-12,▼,83,15
South Dakota,0,†,,—,—
Puerto Rico,0,†,,—,—
Oregon,0,†,,—,—
Nebraska,0,†,,—,—
Maryland,0,†,,—,—
District of Columbia,0,†,,—,—
Alaska,0,†,,—,—
