ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a County based table with the following filters applied: State(s) (All Years): All 50 + DC

County Name,Male Students [Public School] 2016-17,Female Students [Public School] 2016-17,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17,Full-Time Equivalent (FTE) Teachers [Public School] 2016-17
Abbeville County SC  ,1656,1514,4,10,51,1107,1930,2,66,†,13.49,235.00
Acadia Parish LA  ,5051,4788,†,†,264,2551,6580,†,412,†,17.92,548.94
Accomack County VA  ,2780,2482,8,55,1169,1935,2058,5,32,†,16.26,323.67
Ada County ID  ,39528,37741,445,2026,8657,1693,61566,329,2553,†,19.25,4014.70
Adair County IA  ,417,421,†,†,28,†,778,–,24,†,12.28,68.26
Adair County KY  ,1375,1256,†,11,113,46,2370,†,89,†,14.86,177.00
Adair County MO  ,1581,1434,†,†,†,†,2684,†,†,†,12.60,239.29
Adair County OK  ,2360,2223,2999,36,391,7,963,1,186,†,13.41,341.76
Adams County CO  ,46607,44117,533,3316,49133,2530,32838,†,2211,†,19.83,4576.00
Adams County IA  ,225,220,†,3,11,–,422,–,8,†,11.42,38.97
Adams County ID  ,220,206,4,4,22,="0",385,2,9,†,11.53,36.96
Adams County IL  ,4935,4517,†,†,†,714,7947,†,509,†,15.46,611.45
Adams County IN  ,2219,2147,†,44,416,54,3739,†,93,†,14.73,296.47
Adams County MS  ,1772,1688,="0",13,21,3103,308,="0",15,†,16.30,218.19
Adams County ND  ,158,156,7,3,7,10,284,†,–,†,12.63,24.86
Adams County NE  ,2593,2392,19,48,847,85,3880,11,95,†,13.80,366.21
Adams County OH  ,2498,2328,3,7,33,8,4701,2,72,†,17.82,270.75
Adams County PA  ,7070,6711,18,115,1945,310,11108,13,272,†,14.79,931.96
Adams County WA  ,2623,2384,†,†,4015,†,934,†,†,†,18.36,272.67
Adams County WI  ,789,766,14,†,121,26,1378,†,13,†,12.58,123.65
Addison County VT  ,2413,2239,†,†,96,58,4346,†,97,†,11.42,407.37
Aiken County SC  ,12701,11760,71,190,2279,8199,12790,21,911,†,16.41,1490.50
Aitkin County MN  ,1017,915,138,†,35,†,1685,†,57,†,13.98,138.20
Alachua County FL  ,15561,15064,67,1529,3056,10701,13326,36,1910,†,19.48,†
Alamance County NC  ,12808,11961,95,357,6037,5278,11896,27,1079,†,15.82,1579.78
Alameda County CA  ,116085,109476,†,66431,76550,23487,42579,†,13579,†,22.43,10058.11
Alamosa County CO  ,1340,1296,38,†,1591,32,905,†,47,†,16.99,155.13
Albany County NY  ,21351,19641,88,3496,3669,8900,23035,62,1742,†,14.36,2854.92
Albany County WY  ,2080,1943,42,104,671,64,2989,="0",153,†,11.55,348.41
Albemarle County VA  ,6713,6331,25,659,1599,1424,8595,13,729,†,13.49,969.15
Alcona County MI  ,355,346,5,3,18,7,658,="0",10,†,18.95,37.00
Alcorn County MS  ,3046,2867,8,28,246,893,4577,5,156,†,15.28,399.15
Aleutians East Borough AK  ,118,121,177,11,7,="0",24,12,8,†,7.97,30.00
Aleutians West Census Area AK  ,258,220,123,184,49,5,91,19,7,†,12.26,39.00
Alexander County IL  ,438,457,–,†,†,436,387,–,67,†,12.52,71.46
Alexander County NC  ,2554,2421,4,81,480,200,3994,4,212,†,16.02,310.63
Alexandria city VA  ,7940,7361,32,709,5527,4500,4113,32,388,†,14.05,1088.77
Alfalfa County OK  ,462,428,32,6,69,7,715,="0",61,†,9.99,89.10
Alger County MI  ,536,508,119,6,23,4,869,2,21,†,16.00,65.26
Allamakee County IA  ,1132,1051,†,†,389,†,1665,†,†,†,12.82,170.29
Allegan County MI  ,9772,9182,107,150,1907,354,15950,16,470,†,18.53,1022.87
Allegany County MD  ,4571,4131,†,†,119,268,7700,†,508,†,14.84,586.53
Allegany County NY  ,3270,3219,†,52,83,62,6206,†,†,†,10.93,593.46
Alleghany County NC  ,719,701,6,5,316,9,1055,="0",29,†,12.15,116.85
Alleghany County VA  ,1210,1034,8,15,26,162,1943,="0",90,†,†,†
Allegheny County PA  ,73482,70519,208,6254,2841,30145,97669,113,6771,†,13.74,10601.74
Allen County IN  ,27700,26282,†,3210,6349,9188,31038,†,3985,†,18.46,2924.42
Allen County KS  ,1131,1066,†,†,112,39,1920,†,107,†,14.16,155.16
Allen County KY  ,1546,1521,†,14,98,29,2863,†,61,†,16.30,188.11
Allen County OH  ,7815,7443,25,116,591,2429,10772,4,1321,†,16.56,921.12
Allen Parish LA  ,2167,2112,48,40,63,874,3126,†,125,†,13.30,321.63
Allendale County SC  ,637,606,5,6,24,1172,30,="0",6,†,14.39,86.40
Alpena County MI  ,2006,1902,18,22,60,27,3694,="0",87,†,19.63,199.08
Alpine County CA  ,46,36,34,†,4,†,42,†,2,†,9.65,†
Amador County CA  ,2070,2030,110,55,846,31,2785,†,263,†,20.34,201.59
Amelia County VA  ,942,866,8,10,96,419,1186,="0",89,†,16.79,107.69
Amherst County VA  ,2155,1984,39,14,146,858,2783,2,297,†,13.17,314.19
Amite County MS  ,540,513,1,="0",5,861,173,="0",13,†,†,85.55
Anchorage Municipality AK  ,25243,23546,4160,5186,5580,2775,20763,2908,7417,†,17.33,2815.47
Anderson County KS  ,647,573,†,†,†,†,1143,†,†,†,11.70,104.25
Anderson County KY  ,1972,1818,†,25,118,63,3433,†,148,†,17.55,216.00
Anderson County SC  ,16528,15741,47,327,1802,6214,22427,20,1432,†,16.01,2015.50
Anderson County TN  ,6147,5798,†,†,502,742,10098,†,379,†,14.54,821.60
Anderson County TX  ,4539,4202,29,62,2149,1437,4761,6,297,†,12.72,687.21
Andrew County MO  ,1493,1361,†,†,†,†,2687,†,31,†,13.50,211.39
Andrews County TX  ,2056,1910,20,14,2647,42,1175,3,65,†,15.37,258.09
Androscoggin County ME  ,8267,7820,†,153,324,2239,12927,†,357,†,12.99,1260.30
Angelina County TX  ,8992,8662,68,181,5770,3067,8180,16,372,†,13.94,1265.99
Anne Arundel County MD  ,41445,39962,†,2997,11149,16795,45067,†,4991,†,15.00,5477.71
Anoka County MN  ,29702,27904,474,3068,4480,6678,40155,†,2705,†,17.88,3221.84
