<<<<<<< HEAD
Rank,School System,State,Enrollment,Elementary_secondary Expenditure Total,Selected Objects Salaries,Selected Objects Employee Benfits,Instruction Salaries,Instruction Employee Benefits,Support Services Pupil Support,Support Services Instructive Staff Support,Support Services General Administration,Support Services School Administration,Support Services Other and Nonspecified,Other Current Spending,Capital Outlay,Inter-governmental,Interest On Debt,grad_rate
0,New York City,New York,984462,30727358,12189521,7450059,10251760,6482454,127581,100422,86059,565408,4529183,736500,2837591,34242,373100,87.0
1,Los Angeles Unified,California,633621,9824700,4600478,2369812,2829876,1455404,462340,625423,58816,620171,1404572,540152,559525,39792,518172,77.7
2,Chicago,Illinois,378199,5827667,2358375,1369044,1645990,1130889,277641,134105,127649,206432,616698,253822,201717,445,414239,85.8
3,Miami-Dade County,Florida,357249,3785166,1777635,640407,1105455,399924,138086,154340,23235,164440,522834,249260,254277,0,141764,80.6
4,Clark County,Nevada,326953,3442091,1748669,717503,1140062,457951,142395,170483,36014,216899,487972,144519,361897,2959,125776,84.9
5,Broward County,Florida,271852,2754874,1345478,394370,835425,239880,130241,116316,18913,137246,403249,197410,126264,0,82392,88.3
6,Houston,Texas,216106,2989364,1219119,225716,791800,132016,80978,94207,28860,132725,540953,132018,648546,99201,130444,82.4
7,Hillsborough County,Florida,214386,2140049,1197653,341848,770473,208814,83427,158395,16096,104109,245752,203864,100908,0,36247,87.8
8,Orange County,Florida,200674,2367970,999528,354526,607964,203860,57236,189246,15078,118635,283392,126612,426128,0,48069,87.7
9,Palm Beach County,Florida,192721,2057207,1035866,366612,660061,231804,59185,114363,18146,105370,284831,145789,43728,0,71774,87.9
10,Fairfax County,Virginia,187467,3034311,1718014,751839,1131822,488555,160091,186568,11625,161034,405497,112532,231511,759,71706,91.7
11,Hawaii Public Schools,Hawaii,181550,2778689,1402480,633336,955344,420171,244802,87772,13048,186738,416771,147849,161655,0,0,91.6
12,Gwinnett County,Georgia,178214,1855763,1046312,369990,698928,262283,77488,64932,9361,134135,349286,85080,77076,48,61228,87.5
13,Wake County,North Carolina,160467,1789123,910937,309787,658743,219633,82741,45296,8047,77975,199908,56945,334216,5185,59327,92.3
14,Montgomery County,Maryland,159010,2901866,1894901,726381,1101035,508855,99889,158121,12488,168676,372043,59504,292353,43463,1028,91.2
15,Dallas,Texas,157886,1937798,1076114,170131,694450,107896,87428,106994,13932,94211,293147,120615,184277,1080,147917,78.0
16,Charlotte/Mecklenburg,North Carolina,147428,1573607,838967,279526,577743,192398,59157,36810,14111,79267,217922,74414,186330,7599,40372,89.6
17,Philadelphia,Pennsylvania,133929,3680833,722566,510357,483204,335559,60865,66075,61405,66093,310659,132917,115334,1069518,67289,82.0
18,Prince Georges County,Maryland,130814,2247080,1310168,518786,776459,335125,101762,74900,14448,124600,393923,75529,152749,54683,1099,85.8
19,Duval County,Florida,129479,1255728,570047,198118,395280,135335,65963,69010,7956,60365,186843,60191,67567,0,14853,88.9
20,San Diego Unified,California,128040,1895602,861219,460498,537878,288140,129048,69570,9985,96517,243189,61089,289202,1762,103422,86.4
21,Cypress-Fairbanks,Texas,114868,1434024,710129,103093,495993,72440,45469,36540,5754,45676,145643,65700,368053,228,104504,80.2
22,Cobb County,Georgia,113151,1307608,730237,272484,503405,193907,51325,47006,12453,72789,146871,62362,162560,0,0,91.2
23,Baltimore County,Maryland,112139,1853448,1123637,406046,609635,277922,84510,69919,9401,115191,262847,47335,208241,44738,1100,90.6
24,Shelby County,Tennessee,111403,1307012,676017,208961,447794,148979,67798,67464,20010,79989,178360,88921,61885,1024,42916,87.1
25,Northside,Texas,106145,1157539,650902,128367,449087,85093,45386,48667,4715,47977,142265,49760,156098,2028,81288,82.4
26,Pinellas County,Florida,102905,1056539,593569,185777,382403,114134,41254,58418,7065,56951,156178,71354,71832,0,514,88.7
27,Polk County,Florida,102295,983261,470809,159599,311843,99391,38215,50077,8116,42984,129247,65094,27948,0,10202,84.0
28,DeKalb County,Georgia,101284,1239357,679957,235870,444770,160026,58474,46039,16143,62688,182591,63196,125222,0,2124,88.6
29,Jefferson County,Kentucky,99813,1363137,795219,322585,466603,169532,59391,134712,5147,86691,223490,94477,83727,391,20316,89.3
30,Fulton County,Georgia,96122,1225052,646951,232536,441082,151476,54642,64257,6582,61890,183531,41488,161076,1753,4281,90.9
31,Lee County,Florida,92686,982928,459322,134329,277032,80214,31254,45796,7510,47934,166305,59822,103905,0,17689,87.0
32,Denver,Colorado,91138,1391970,740212,122455,383437,63345,59421,105682,10147,109748,209485,85882,187370,4921,117420,86.4
33,Albuquerque,New Mexico,90651,1038807,519659,184633,353618,123566,83400,21763,9871,48846,139879,35054,179917,348,21610,88.1
34,Prince William County,Virginia,89345,1235828,646589,215344,398043,133603,48480,73510,41445,68765,146129,48960,164340,43317,39465,89.0
36,Jefferson County,Colorado,86371,945647,530382,155692,320703,93854,43520,55186,7955,64877,158112,37158,103879,17,25357,94.2
37,Nashville-Davidson County,Tennessee,85163,1149270,541646,211973,337965,141915,52821,81969,3870,70889,163844,50778,159457,886,32154,87.5
38,Austin,Texas,83067,1392542,568666,139631,353341,83349,38193,53484,8552,54972,175487,57242,94913,403521,37229,82.4
39,Baltimore,Maryland,82354,1446939,747373,316523,461282,221071,65252,55314,51470,88647,182487,49765,80213,33677,271,90.6
40,Anne Arundel County,Maryland,81379,1274813,753870,286368,438672,207056,45159,54906,7902,79077,184665,29928,133185,22853,496,91.9
41,Alpine,Utah,78957,591032,268788,162736,196872,111383,15377,18790,2019,32121,67171,31944,61009,144,17153,93.3
42,Loudoun County,Virginia,78348,1358874,636809,306219,441674,212685,56794,45967,10522,63430,205328,26444,243825,3403,301,93.5
43,Greenville County,South Carolina,76918,851587,434592,163385,274795,101579,56483,41059,2593,48961,124478,51904,69861,1145,28751,86.9
44,Long Beach Unified,California,76428,1123983,547434,270583,348726,170886,46477,47953,5020,53337,141430,78780,118472,639,27500,77.7
45,Milwaukee,Wisconsin,76206,1192456,517098,235726,314091,144169,63745,70543,35696,50487,202375,72904,40618,43345,6956,86.9
46,Katy,Texas,75428,1062301,503580,81643,356013,56704,36855,26327,5878,36522,108582,28787,300026,159,71125,80.2
47,Fort Bend,Texas,74146,897152,456330,83606,300119,55273,40398,33093,4765,39414,119088,26503,209170,902,41272,88.9
48,Brevard County,Florida,73444,705415,372321,106301,238916,65828,25042,49931,4428,38378,86555,33153,61452,0,19847,91.2
49,Fresno Unified,California,73356,965074,488635,247260,309714,152788,54845,55127,7174,53731,149284,62834,44112,3019,18253,73.8
50,Guilford County,North Carolina,73059,809352,434607,149024,292877,99347,43339,28004,5136,38512,114842,40234,77352,4871,21835,88.4
51,Davis County,Utah,72987,628578,290419,141915,196652,96889,16003,20831,2842,34455,69299,33596,111271,1497,16660,95.5
52,Pasco County,Florida,72493,774191,367660,125365,226148,73395,29598,37785,4378,39485,108386,43678,126831,0,18337,88.3
53,Aldine,Texas,69768,982566,492184,80218,320660,50962,37483,38239,4164,45760,131603,40661,243723,345,28064,80.2
54,Granite,Utah,69580,549620,291480,143987,199907,98556,21605,16342,3868,31878,77328,34700,33492,568,6849,89.8
55,Virginia Beach,Virginia,69085,855081,488279,180990,313079,116386,35178,63330,6284,45972,144754,30030,40835,19287,18038,93.2
56,Seminole County,Florida,67808,626527,325248,105533,225677,69581,25534,22860,5092,33099,89725,38515,56977,0,7666,93.4
58,Douglas County,Colorado,67470,666894,362667,117445,237100,76693,27281,28885,3758,48424,118961,31430,37317,1777,26259,97.9
59,Washoe County,Nevada,66671,696723,385915,154612,233852,95334,53999,39816,10898,40170,107321,25924,45899,1200,21628,87.0
60,Mesa Unified,Arizona,63444,547540,309048,96504,190694,57392,42823,29400,2916,24672,99050,33132,29580,0,8367,86.9
61,Elk Grove Unified,California,63061,772967,406733,195825,275074,131393,43114,36176,3260,43072,104132,27299,57667,3711,7093,86.8
62,Osceola County,Florida,63031,599600,273361,86530,164642,50298,24059,35171,4359,23460,78986,39715,52059,0,12178,85.7
63,Volusia County,Florida,63028,597824,316945,93838,210021,59689,22770,35881,3619,36109,80766,30971,52417,0,12936,89.3
64,Arlington,Texas,62181,769623,415226,57340,282524,38341,36896,30540,3483,29264,82478,31993,183378,595,28402,85.2
65,Knox County,Tennessee,60372,532477,331472,87168,221642,60935,23070,38194,6976,33081,78578,25832,7908,12,10580,90.6
66,San Francisco Unified,California,60133,967898,393156,184802,230028,101509,50960,120339,12338,45506,97944,26818,129041,104804,40574,87.0
67,Chesterfield County,Virginia,60060,635049,338889,155946,242996,114992,25628,31622,5150,34942,88020,23045,39268,3878,12319,91.4
68,Conroe,Texas,59764,704424,361030,63537,246814,41277,25668,18961,4791,29276,87265,17648,162284,804,50068,86.8
69,El Paso,Texas,59424,603884,392200,77642,250288,46499,36127,42766,4273,37568,85817,31450,18683,46,15840,76.5
70,Garland,Texas,57133,662552,356698,57804,233015,36657,29755,31280,3511,30014,79769,30644,132137,177,25537,78.0
71,Mobile County,Alabama,56628,571906,292930,123280,182505,72613,30551,24061,9174,29935,114366,43000,23053,808,12388,85.8
72,Pasadena,Texas,56282,673897,394385,67548,268317,45946,29701,23469,2826,36328,80614,33005,100934,1356,30748,80.2
73,Frisco,Texas,55923,712565,343842,51772,244153,36134,23013,21701,3917,28378,61719,23663,169677,324,82689,93.6
74,Howard County,Maryland,55626,984072,623660,225276,424729,177003,17545,6825,13894,79001,114239,22505,86268,4448,42,95.3
75,Winston-Salem/Forsyth,North Carolina,55228,532909,319842,110039,226824,77901,31556,16827,2548,27224,66374,24507,12767,1639,13979,87.9
76,Cherry Creek,Colorado,54852,636708,384806,105738,283537,76830,31763,21409,5237,27015,79493,15960,46767,27,21472,92.3
77,Santa Ana Unified,California,54505,720454,381220,170825,261454,115520,31347,35201,2616,40756,105715,39884,33122,5226,13822,84.3
78,Clayton County,Georgia,54345,586781,332317,104383,213374,68385,28834,30080,12956,27729,76810,41498,52992,0,0,82.3
78,Clayton County,Georgia,54345,586781,332317,104383,213374,68385,28834,30080,12956,27729,76810,41498,52992,0,0,83.6
79,Seattle,Washington,54215,933454,472438,161907,308412,104627,54234,41747,9551,47952,126249,21437,175404,0,1371,92.5
80,Plano,Texas,54173,714168,361848,50782,264278,36335,28064,21035,5231,26540,84639,24699,55822,106002,36918,93.6
81,Boston,Massachusetts,53640,1518275,736077,280589,468467,198907,72614,116594,20476,49722,207916,55721,89956,7832,11753,84.3
82,Capistrano Unified,California,53613,512429,286592,126899,199821,90840,30359,18320,2822,31139,70671,9581,20455,14019,2092,84.3
83,Jordan,Utah,53416,437196,204435,86936,132204,58261,11980,14129,2508,21886,54672,29252,86444,554,2528,89.8
84,Lewisville,Texas,53257,549529,330866,51980,240396,37765,25298,18807,4021,29914,75256,25654,12419,493,56956,92.0
85,Corona-Norco Unified,California,53157,686997,361379,130102,251880,86173,38837,22943,2512,41728,91737,21594,62056,1813,24711,80.1
86,San Bernardino Unified,California,53152,729341,373510,173569,229874,102449,46958,34027,3632,49268,119812,49260,29519,431,9751,78.8
87,San Antonio,Texas,52514,626668,362398,93811,220585,55492,35483,41451,3775,33262,91933,50738,26488,2625,33682,81.7
88,Omaha,Nebraska,52344,838875,365498,146829,261077,108895,22477,13743,9702,29685,119715,44821,160478,4007,15396,89.4
89,Atlanta,Georgia,51927,920811,451605,182641,270456,129974,65785,61946,11168,56591,166619,33437,55526,13764,4406,90.9
91,Henrico County,Virginia,51425,547462,317802,121587,207356,78358,24045,32028,5752,30970,84209,21871,37802,3063,10334,90.9
92,Cumberland County,North Carolina,51194,455260,284057,93450,196204,61842,23028,18790,1961,30699,58963,28430,12752,2127,2672,90.3
93,Wichita Unified,Kansas,50600,592320,326268,127093,205398,82015,49956,30356,5017,35408,92805,23566,28642,13,20486,89.0
94,Columbus,Ohio,50331,1017097,455138,194093,263123,106427,71710,41568,9342,41899,162936,38451,30417,35625,16683,90.4
