ELSI Export,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This is a County based table with the following filters applied: State(s) (All Years): All 50 + DC; Name (All Years): Alameda County Anne Arundel County Arapahoe County Austin County Baltimore County Bernalillo County Bexar County Brevard County Broward County Charleston County Chesterfield County Clark County Clayton County Cobb County Collin County Cook County Cumberland County Dallas County Davidson County Davis County DeKalb County Denton County Denver County Douglas County Duval County El Paso County Fairfax County Forsyth County Fort Bend County Franklin County Fresno County Fulton County Greenville County Guilford County Gwinnett County Harris County Hawaii County Henrico County Hillsborough County Houston County Howard County Jefferson County Jefferson Parish King County Knox County Lee County Los Angeles County Loudoun County Manatee County Maricopa County Mecklenburg County Miami-Dade County Milwaukee County Mobile County Montgomery County New York County Orange County Osceola County Palm Beach County Pasco County Philadelphia County Pinellas County Polk County Prince George's County Prince William County Riverside County Sacramento County Salt Lake County San Bernardino County San Diego County San Francisco County Sedgwick County Seminole County Shelby County Suffolk County Tarrant County Utah County Virginia Beach city Volusia County Wake County Washoe County,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
County Name,County Name [Public School] 2017-18,American Indian/Alaska Native - male [Public School] 2017-18,American Indian/Alaska Native - female [Public School] 2017-18,Asian or Asian/Pacific Islander - male [Public School] 2017-18,Asian or Asian/Pacific Islander - female [Public School] 2017-18,Hispanic - male [Public School] 2017-18,Hispanic - female [Public School] 2017-18,Black - male [Public School] 2017-18,Black - female [Public School] 2017-18,White - male [Public School] 2017-18,White - female [Public School] 2017-18,Hawaiian Nat./Pacific Isl. - male [Public School] 2017-18,Hawaiian Nat./Pacific Isl. - female [Public School] 2017-18,Two or More Races - male [Public School] 2017-18,Two or More Races - female [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
Alameda County CA  ,Alameda County,†,†,35420,33534,39795,37510,11553,11130,21533,19960,†,†,7343,7106,22.81
Anne Arundel County MD  ,Anne Arundel County,†,†,1572,1516,6256,6021,8851,8474,22646,21985,†,†,2525,2543,15.08
Arapahoe County CO  ,Arapahoe County,364,†,3699,3608,18551,17379,7053,6560,26182,24154,†,†,3255,3159,18.72
Austin County TX  ,Austin County,4,4,16,21,1182,1157,254,255,1361,1213,4,0,72,56,14.09
Baltimore County MD  ,Baltimore County,†,†,4222,3897,5716,5263,22835,21462,22367,21459,†,†,2720,2704,15.81
Bernalillo County NM  ,Bernalillo County,2284,2325,1055,1050,32960,31623,1344,1231,11159,10353,72,55,1418,1324,15.49
Bexar County TX  ,Bexar County,280,282,4221,4239,133266,127638,13280,12458,29687,27499,277,322,4134,3912,15.53
Brevard County FL  ,Brevard County,81,75,817,796,5428,5150,5569,5299,23169,21488,65,53,2802,2732,15.33
Broward County FL  ,Broward County,395,348,5138,4733,47651,44701,54189,51881,28893,26981,223,221,3832,3449,16.78
Charleston County SC  ,Charleston County,26,19,418,393,2483,2356,9575,9482,12864,12094,64,44,718,723,14.46
Chesterfield County VA  ,Chesterfield County,58,59,1063,1002,4856,4680,8123,7559,15710,14844,67,40,1455,1399,15.59
Clark County NV  ,Clark County,†,†,11993,10966,83456,79502,26259,24862,49085,45104,2999,2767,12241,11751,20.81
Clayton County GA  ,Clayton County,89,69,1236,1137,6525,6504,22047,21819,3927,4058,32,38,1088,1206,18.33
Cobb County GA  ,Cobb County,123,129,3278,3182,14172,13523,19478,19138,22710,21209,43,55,2223,2309,15.44
Collin County TX  ,Collin County,475,470,16752,16212,20947,19766,11181,11027,44373,41631,142,124,3733,3749,14.97
Cook County IL  ,Cook County,†,†,†,†,152841,147176,104993,103841,99252,†,†,†,†,†,16.93
Cumberland County NC  ,Cumberland County,436,397,485,472,3606,3431,12026,11517,7791,7252,123,145,2161,2185,15.25
Dallas County TX  ,Dallas County,1533,1550,13096,12765,142160,135657,59710,57221,31894,29725,216,211,4052,4057,15.61
Davidson County TN  ,Davidson County,†,†,†,†,10883,10259,17279,17240,12953,11720,†,†,814,845,16.55
Davis County UT  ,Davis County,161,146,504,531,4487,4302,536,501,36160,33382,527,484,1135,1123,†
DeKalb County GA  ,DeKalb County,180,148,3615,3319,9446,8944,33469,32541,8356,7844,63,65,1310,1300,14.2
Denton County TX  ,Denton County,443,362,8023,7745,22380,21838,9445,8733,39399,36896,109,105,2593,2635,14.97
Denver County CO  ,Denver County,†,†,1449,1554,25818,24846,6119,5897,11577,10832,†,†,1908,1780,15.18
Douglas County CO  ,Douglas County,†,†,1649,1754,5019,4841,510,422,25971,24187,†,†,1696,1689,19.32
Douglas County NE  ,Douglas County,312,249,2687,2575,10353,9829,7436,7213,25219,23286,92,79,2278,2378,14.82
Duval County FL  ,Duval County,192,211,3041,2798,8281,7893,28796,28040,23115,22109,150,175,3231,3076,18.67
El Paso County TX  ,El Paso County,167,166,599,561,81685,77887,2040,1796,5146,4958,181,172,800,814,15.67
Fairfax County VA  ,Fairfax County,238,259,18609,17438,24608,22765,9525,9067,37449,33733,118,137,5085,4833,14.89
Forsyth County NC  ,Forsyth County,56,56,728,725,7777,7532,8752,8176,11357,10672,44,35,1242,1145,14.7
Fort Bend County TX  ,Fort Bend County,278,230,16460,15395,24548,23448,17023,15974,21414,19855,127,99,2421,2290,16.37
Franklin County OH  ,Franklin County,154,178,4963,4797,9864,9515,31521,30307,48548,45865,90,72,6452,6417,19.93
Fresno County CA  ,Fresno County,†,†,10558,9886,67807,64666,5238,†,17850,16885,†,†,2148,2168,23.79
Fulton County GA  ,Fulton County,90,94,5758,5502,9407,9146,40047,38911,17759,16833,38,49,1883,1866,14.85
Greenville County SC  ,Greenville County,143,124,974,1055,6770,6101,9440,9232,22587,21451,84,64,1729,1618,16.32
Guilford County NC  ,Guilford County,160,171,2679,2442,6222,5936,16526,15955,13596,12727,60,64,1668,1674,16.09
Gwinnett County GA  ,Gwinnett County,197,155,9718,9261,29009,27438,30197,29076,23676,22372,94,87,3650,3615,16.27
Harris County TX  ,Harris County,2280,1960,24014,22408,258582,247970,88263,85376,77808,73306,562,553,7510,7316,16.15
Hawaii County HI  ,Hawaii County,†,†,2158,1917,2364,2301,†,†,2060,1835,5689,5233,1927,1734,14.94
Henrico County VA  ,Henrico County,47,60,2882,2736,2521,2472,9946,9482,10316,9719,27,22,1174,1151,17.38
Hillsborough County FL  ,Hillsborough County,250,213,4354,4256,40870,38605,23443,22446,37423,35200,197,203,4830,4782,14.03
Houston County TX  ,Houston County,5,3,10,18,308,322,484,453,841,793,1,2,45,46,11.85
Howard County MD  ,Howard County,†,†,6324,6101,3176,2910,6899,6512,10953,10208,†,†,1775,1724,13.35
Jefferson County CO  ,Jefferson County,†,†,1260,1437,10904,10726,612,535,29643,27788,†,†,1700,1686,18.58
Jefferson County KY  ,Jefferson County,†,†,2112,1972,5569,5240,18376,17929,22356,20976,†,†,2223,2225,16.02
Jefferson Parish LA  ,Jefferson Parish,†,†,1169,1083,6975,6657,10182,9497,6409,5984,†,†,733,667,20.22
King County WA  ,King County,†,†,27168,25500,26155,24235,12738,12074,66378,61120,†,†,13381,12875,18.83
Knox County TN  ,Knox County,†,†,†,†,2825,2819,4249,3993,22338,20585,†,†,1305,1294,16.26
Lee County FL  ,Lee County,81,83,807,777,19874,18362,6844,6450,19148,18095,46,41,1375,1238,15.91
