State	"Total, ACGR for all students "										"ACGR for students with selected characteristics,\1\ 2016-17"													
	2010-11		2011-12		2012-13		2013- 14	2014- 15	2015- 16	2016- 17	Race/ethnicity									Students with disabil-ities		Limited English profi-cient		Economi- cally disadvan-taged
											White	Black	Hispanic	Asian/Pacific Islander\5\			"American
Indian/
Alaska
Native"		Two or more races					
														Total	Asian	Pacific Islander								
1	2		3		4		5	6	7	8	9	10	11	12	13	14	15		16	17		18		19
   United States .............	79	\6\	80	\6\	81	\7\	82	83	84	85	89	78	80	91	---	---	72	\8\	---	67	\8\	66	\8\	78
Alabama\9\ ....................	72		75		80		86	89	87	89	91	87	88	95	---	---	---		91	---		---		---
Alaska ..................................	68		70		72		71	76	76	78	82	74	77	84	88	77	69		75	59		58		72
Arizona .....................	78		76		75		76	77	80	78	83	74	75	89	---	---	67		---	66		30		72
Arkansas ..................................	81		84		85		87	85	87	88	90	83	86	86	92	69	89		86	84		82		85
California .................	76		79		80		81	82	83	83	87	73	80	93	93	91	68		70	65		67		79
																								
Colorado ....................	74		75		77		77	77	79	79	84	72	71	89	90	77	64		80	57		65		69
Connecticut ...............	83		85		86		87	87	87	88	93	80	78	95	95	81	88		88	67		68		78
Delaware ..................................	78		80		80		87	86	86	87	90	83	82	95	96	>=50	76		91	69		69		78
District of Columbia ........	59		59		62		61	69	69	73	85	72	72	78	‡	‡	‡		>=90	53		63		73
Florida ..................................	71		75		76		76	78	81	82	86	75	81	93	93	87	80		83	66		67		77
																								
Georgia .................................	67		70		72		73	79	79	81	84	78	74	91	---	---	79		82	59		59		76
Hawaii .....................	80		81		82		82	82	83	83	80	79	80	84	---	---	79		---	65		69		78
Idaho ........................	---		---		---		77	79	80	80	81	70	75	85	86	78	66		76	61		75		72
Illinois .................................	84		82		83		86	86	86	87	91	79	84	95	95	82	81		86	71		74		79
Indiana .....................	86		86		87		88	87	87	84	88	71	76	80	81	70	76		82	71		50		80
																								
Iowa ........................	88		89		90		91	91	91	91	93	82	82	91	93	77	83		85	74		80		84
Kansas .....................	83		85		86		86	86	86	87	89	78	81	93	94	75	81		84	78		80		79
Kentucky .................................	---		---		86		88	88	89	90	91	82	84	92	93	76	77		87	74		67		87
Louisiana ...................	71		72		74		75	78	79	78	84	73	67	90	91	77	81		82	53		36		73
Maine .....................	84		85		86		87	88	87	87	87	83	89	89	88	>=50	71		79	73		81		79
																								
Maryland ....................	83		84		85		86	87	88	88	93	85	74	96	96	89	86		91	68		45		79
Massachusetts ..............	83		85		85		86	87	88	88	93	80	74	94	94	78	81		85	73		63		79
Michigan .....................	74		76		77		79	80	80	80	84	69	73	91	91	85	68		75	57		69		68
Minnesota ...................	77		78		80		81	82	82	83	88	65	66	85	86	63	51		71	61		65		69
Mississippi .............................	75		75		76		78	81	82	83	87	79	81	91	91	>=80	80		79	36		67		80
																								
Missouri .................................	81		84		86		87	88	89	88	91	76	84	91	---	---	84		89	77		67		80
Montana .....................	82		84		84		85	86	86	86	89	81	80	91	94	83	69		---	77		63		77
Nebraska ....................	86		88		89		90	89	89	89	93	81	82	82	82	85	70		86	71		50		82
Nevada ....................	62		63		71		70	71	74	81	84	68	80	91	93	82	74		81	65		82		77
New Hampshire ..................	86		86		87		88	88	88	89	90	79	76	93	93	>=50	75		85	74		78		78
																								
New Jersey .................	83		86		88		89	90	90	91	95	83	84	97	97	>=95	92		92	79		76		84
New Mexico .................	63		70		70		69	69	71	71	76	68	71	85	---	---	61		---	62		68		66
New York ...............................	77		77		77		78	79	80	82	90	72	71	88	88	77	67		83	55		31		75
North Carolina ...........................	78		80		83		84	86	86	87	89	84	81	94	---	---	84		84	70		58		82
North Dakota ................	86		87		88		87	87	88	87	91	75	76	80	80	---	68		---	66		69		74
																								
Ohio .......................	80		81		82		82	81	84	84	88	69	74	88	---	---	76		79	71		55		73
Oklahoma ....................	---		---		85		83	83	82	83	84	80	79	86	86	84	83		83	77		57		77
Oregon ......................	68		68		69		72	74	75	77	78	68	73	86	89	69	59		77	59		55		70
Pennsylvania ...............	83		84		86		85	85	86	87	91	74	74	92	92	90	73		79	74		65		80
Rhode Island ..............................	77		77		80		81	83	83	84	88	81	76	88	89	68	73		79	63		72		76
																								
South Carolina ..........................	74		75		78		80	80	83	84	85	81	81	93	---	---	76		---	54		77		85
South Dakota .............................	83		83		83		83	84	84	84	90	78	71	85	‡	‡	50		78	60		59		67
Tennessee ...............................	86		87		86		87	88	89	90	93	84	84	94	94	93	89		---	73		74		85
Texas ....................................	86		88		88		88	89	89	90	94	86	88	96	96	89	86		92	77		76		87
Utah ...................................	76		80		83		84	85	85	86	88	73	77	87	89	86	74		87	69		67		77
																								
Vermont ....................	87		88		87		88	88	88	89	90	77	90	82	‡	‡	‡		83	76		66		81
Virginia ....................	82		83		85		85	86	87	87	91	83	73	93	94	91	83		90	60		57		78
Washington ..................	76		77		76		78	78	80	79	82	72	73	85	88	68	62		80	59		58		70
West Virginia ...........................	78		79		81		85	87	90	89	90	87	92	95	95	>=50	>=80		83	76		‡		87
Wisconsin ................................	87		88		88		89	88	88	89	93	67	80	91	91	85	79		84	68		65		77
Wyoming ...................................	80		79		77		79	79	80	86	88	83	80	84	81	>=50	59		79	68		77		65
#NAME?																								
‡Reporting standards not met (too few cases).																								
"\1\The time when students are identified as having certain characteristics varies by state. Depending on the state, a student may be included in a category if the relevant characteristic is reported in 9th-grade data, if the characteristic is reported in 12th-grade data, or if it is reported at any point during the student’s high school years."																								
\2\Students identified as children with disabilities under the Individuals with Disabilities Education Act (IDEA).																								
"\3\Students who met the definition of limited English proficient students as outlined in the EDFacts workbook. For more information, see http://www2.ed.gov/about/inits/ed/edfacts/eden-workbook.html."																								
\4\Students who met the state criteria for classification as economically disadvantaged. 																								
"\5\States either report data for a combined ""Asian/Pacific Islander"" group or report the ""Asian"" and ""Pacific Islander"" groups separately. Total represents either a single value reported by the state for ""Asian/Pacific Islander"" or an aggregation of separate values reported for ""Asian"" and ""Pacific Islander."" ""Pacific Islander"" includes the ""Filipino"" group, which only California reports separately."																								
"\6\Includes imputed data for Idaho, Kentucky, and Oklahoma. Data were not available for these states because they had not yet started reporting ACGR data in 2010-11 and 2011-12."																								
\7\Includes imputed data for Idaho. Data were not available for Idaho because this state had not yet started reporting ACGR data in 2012-13.																								
\8\Includes estimated data for Alabama because Alabama did not report data for this subgroup. Estimated Alabama data were based on data published on the Alabama State Education Agency website.																								
"\9\Use data with caution. The Alabama State Department of Education has indicated that their ACGR data for some years was misstated. For more information, please see the following press release issued by the state: https://www.alsde.edu/sec/comm/News%20Releases/12-08-2016%20Graduation%20Rate%20Review.pdf."																								
