ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a County based table with the following filters applied: State(s) (All Years): All 50 + DC

County Name,County Name [Public School] 2017-18,County Name [Public School] 2016-17,Total Number of Public Schools [Public School] 2017-18,Total Number of Public Schools [Public School] 2016-17,American Indian/Alaska Native - male [Public School] 2017-18,American Indian/Alaska Native - male [Public School] 2016-17,American Indian/Alaska Native - female [Public School] 2017-18,American Indian/Alaska Native - female [Public School] 2016-17,Asian or Asian/Pacific Islander - male [Public School] 2017-18,Asian or Asian/Pacific Islander - male [Public School] 2016-17,Asian or Asian/Pacific Islander - female [Public School] 2017-18,Asian or Asian/Pacific Islander - female [Public School] 2016-17,Hispanic - male [Public School] 2017-18,Hispanic - male [Public School] 2016-17,Hispanic - female [Public School] 2017-18,Hispanic - female [Public School] 2016-17,Black - male [Public School] 2017-18,Black - male [Public School] 2016-17,Black - female [Public School] 2017-18,Black - female [Public School] 2016-17,White - male [Public School] 2017-18,White - male [Public School] 2016-17,White - female [Public School] 2017-18,White - female [Public School] 2016-17,Hawaiian Nat./Pacific Isl. - male [Public School] 2017-18,Hawaiian Nat./Pacific Isl. - male [Public School] 2016-17,Hawaiian Nat./Pacific Isl. - female [Public School] 2017-18,Hawaiian Nat./Pacific Isl. - female [Public School] 2016-17,Two or More Races - male [Public School] 2017-18,Two or More Races - male [Public School] 2016-17,Two or More Races - female [Public School] 2017-18,Two or More Races - female [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2016-17
Abbeville County SC  ,Abbeville County,Abbeville County,10,10,3,3,3,1,4,5,5,5,26,25,21,26,561,551,540,556,1023,1032,900,898,3,2,1,="0",34,38,26,28,13.17,13.49
Acadia Parish LA  ,Acadia Parish,Acadia Parish,27,27,†,†,†,†,†,†,†,†,170,149,125,115,1296,1339,1199,1212,3336,3347,3223,3233,†,†,†,†,207,198,237,214,20.30,17.92
Accomack County VA  ,Accomack County,Accomack County,13,13,4,4,4,4,22,28,22,27,614,622,553,547,997,1000,902,935,1098,1109,940,949,="0",1,5,4,15,16,18,16,16.55,16.26
Ada County ID  ,Ada County,Ada County,136,134,210,224,207,221,991,970,1098,1056,4317,4308,4300,4349,934,862,847,831,31976,31688,30103,29878,†,163,†,166,1446,1313,1358,1240,18.99,19.25
Adair County IA  ,Adair County,Adair County,5,5,–,–,†,†,†,†,†,†,15,†,13,12,†,†,†,†,355,385,382,393,–,–,–,–,12,13,14,11,11.41,12.28
Adair County KY  ,Adair County,Adair County,5,5,†,†,†,†,5,7,3,4,74,67,57,46,38,26,18,20,1245,1227,1142,1143,†,†,†,†,59,48,45,41,15.53,14.86
Adair County MO  ,Adair County,Adair County,9,9,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1427,1423,1229,1261,†,†,†,†,50,†,55,†,12.28,12.60
Adair County OK  ,Adair County,Adair County,18,18,1476,1520,1466,1479,†,15,†,21,†,200,†,191,†,5,†,2,498,529,419,434,†,1,–,="0",112,90,122,96,13.28,13.41
Adams County CO  ,Adams County,Adams County,157,158,†,†,†,†,1710,1715,1636,1601,25683,25056,24491,24077,1282,1291,1275,1239,16551,17093,15128,15745,†,†,†,†,1161,1097,1147,1114,20.17,19.83
Adams County IA  ,Adams County,Adams County,2,2,†,–,†,†,†,†,2,†,†,†,†,7,–,–,–,–,206,215,196,207,–,–,–,–,5,5,†,†,10.78,11.42
