id,name,type,year,variable,value
0500000US72011,"A?asco Municipio, Puerto Rico",county,2015,percent_high_school_graduate_or_higher,67.4
0500000US72011,"Aí±asco Municipio, Puerto Rico",county,2011,percent_high_school_graduate_or_higher,60.9
0500000US72011,"Aí±asco Municipio, Puerto Rico",county,2010,percent_high_school_graduate_or_higher,59.3
0500000US45001,"Abbeville County, South Carolina",county,2016,percent_high_school_graduate_or_higher,78.3
0500000US45001,"Abbeville County, South Carolina",county,2015,percent_high_school_graduate_or_higher,78.1
0500000US45001,"Abbeville County, South Carolina",county,2010,percent_high_school_graduate_or_higher,76.8
0500000US45001,"Abbeville County, South Carolina",county,2011,percent_high_school_graduate_or_higher,77.1
0500000US22001,"Acadia Parish, Louisiana",county,2016,percent_high_school_graduate_or_higher,75.5
0500000US22001,"Acadia Parish, Louisiana",county,2015,percent_high_school_graduate_or_higher,73.8
0500000US22001,"Acadia Parish, Louisiana",county,2014,percent_high_school_graduate_or_higher,72.5
0500000US51001,"Accomack County, Virginia",county,2016,percent_high_school_graduate_or_higher,80.5
0500000US51001,"Accomack County, Virginia",county,2015,percent_high_school_graduate_or_higher,80.3
0500000US51001,"Accomack County, Virginia",county,2014,percent_high_school_graduate_or_higher,78.8
0500000US16001,"Ada County, Idaho",county,2015,percent_high_school_graduate_or_higher,94.2
0500000US16001,"Ada County, Idaho",county,2016,percent_high_school_graduate_or_higher,94.6
0500000US16001,"Ada County, Idaho",county,2012,percent_high_school_graduate_or_higher,93.3
0500000US16001,"Ada County, Idaho",county,2010,percent_high_school_graduate_or_higher,92.9
0500000US19001,"Adair County, Iowa",county,2015,percent_high_school_graduate_or_higher,92.5
0500000US19001,"Adair County, Iowa",county,2016,percent_high_school_graduate_or_higher,93.4
0500000US19001,"Adair County, Iowa",county,2012,percent_high_school_graduate_or_higher,90.9
0500000US19001,"Adair County, Iowa",county,2011,percent_high_school_graduate_or_higher,90.9
0500000US19001,"Adair County, Iowa",county,2014,percent_high_school_graduate_or_higher,91.8
0500000US21001,"Adair County, Kentucky",county,2016,percent_high_school_graduate_or_higher,76
0500000US21001,"Adair County, Kentucky",county,2015,percent_high_school_graduate_or_higher,75
0500000US21001,"Adair County, Kentucky",county,2011,percent_high_school_graduate_or_higher,71.2
0500000US21001,"Adair County, Kentucky",county,2012,percent_high_school_graduate_or_higher,72.3
0500000US29001,"Adair County, Missouri",county,2016,percent_high_school_graduate_or_higher,89.9
0500000US29001,"Adair County, Missouri",county,2015,percent_high_school_graduate_or_higher,88.6
0500000US29001,"Adair County, Missouri",county,2010,percent_high_school_graduate_or_higher,88.1
0500000US29001,"Adair County, Missouri",county,2014,percent_high_school_graduate_or_higher,87.4
0500000US29001,"Adair County, Missouri",county,2012,percent_high_school_graduate_or_higher,87.4
0500000US40001,"Adair County, Oklahoma",county,2015,percent_high_school_graduate_or_higher,79
0500000US40001,"Adair County, Oklahoma",county,2014,percent_high_school_graduate_or_higher,78.5
0500000US08001,"Adams County, Colorado",county,2015,percent_high_school_graduate_or_higher,82.3
0500000US08001,"Adams County, Colorado",county,2016,percent_high_school_graduate_or_higher,82.2
0500000US08001,"Adams County, Colorado",county,2010,percent_high_school_graduate_or_higher,81
0500000US08001,"Adams County, Colorado",county,2012,percent_high_school_graduate_or_higher,81.1
0500000US16003,"Adams County, Idaho",county,2016,percent_high_school_graduate_or_higher,89.7
0500000US16003,"Adams County, Idaho",county,2015,percent_high_school_graduate_or_higher,88.5
0500000US16003,"Adams County, Idaho",county,2014,percent_high_school_graduate_or_higher,92.2
0500000US16003,"Adams County, Idaho",county,2012,percent_high_school_graduate_or_higher,89.5
0500000US17001,"Adams County, Illinois",county,2011,percent_high_school_graduate_or_higher,89.9
