,County Name,State,Pupil/Teacher Ratio,Grad Rate
0,Abbeville County,SC,13.49,77.57499999999999
1,Acadia Parish,LA,17.92,73.93333333333334
2,Accomack County,VA,16.26,79.86666666666667
3,Ada County,ID,19.25,93.75
4,Adair County,OK,13.41,84.55625
5,Adams County,WI,12.58,84.28837209302326
6,Addison County,VT,11.42,91.77499999999999
7,Aiken County,SC,16.41,85.4
8,Aitkin County,MN,13.98,90.42499999999998
9,Alachua County,FL,19.48,92.3
10,Alamance County,NC,15.82,83.10000000000001
11,Alameda County,CA,22.43,86.69999999999999
12,Alamosa County,CO,16.99,84.39999999999999
13,Albany County,WY,11.55,93.55555555555556
14,Albemarle County,VA,13.49,91.08
15,Alcona County,MI,18.95,87.7
16,Alcorn County,MS,15.28,80.26666666666667
17,Aleutians East Borough,AK,7.97,83.05000000000001
18,Aleutians West Census Area,AK,12.26,85.66666666666667
19,Alexander County,NC,16.02,78.13333333333334
20,Alexandria city,VA,14.05,91.53333333333335
21,Alfalfa County,OK,9.99,86.675
22,Alger County,MI,16.0,89.1
23,Allamakee County,IA,12.82,87.65
24,Allegan County,MI,18.53,89.40000000000002
25,Allegany County,NY,10.93,88.28333333333332
26,Allegheny County,PA,13.74,92.7
27,Allen County,OH,16.56,86.10769230769232
28,Allen Parish,LA,13.3,76.80000000000001
29,Allendale County,SC,14.39,73.9
30,Alpena County,MI,19.63,89.13333333333333
31,Alpine County,CA,9.65,90.56666666666666
32,Amador County,CA,20.34,87.9
33,Amelia County,VA,16.79,79.63333333333333
34,Amherst County,VA,13.17,81.30000000000001
35,Anchorage Municipality,AK,17.33,93.15
36,Anderson County,TX,12.72,84.16470588235295
37,Andrew County,MO,13.5,90.21666666666668
38,Andrews County,TX,15.37,74.05
39,Androscoggin County,ME,12.99,87.33333333333333
40,Angelina County,TX,13.94,78.76666666666667
41,Anne Arundel County,MD,15.0,90.975
42,Anoka County,MN,17.88,93.2
43,Anson County,NC,15.57,78.46000000000001
44,Antelope County,NE,9.16,91.13333333333333
45,Antrim County,MI,17.81,90.10000000000001
46,Apache County,AZ,15.02,76.03333333333333
47,Appanoose County,IA,12.53,88.7
48,Appling County,GA,14.87,76.43333333333334
49,Appomattox County,VA,15.26,83.2
50,Aransas County,TX,13.9,84.2
51,Arapahoe County,CO,18.69,91.625
52,Archer County,TX,12.44,86.81666666666666
53,Archuleta County,CO,17.87,91.7
54,Arenac County,MI,19.34,84.82499999999999
55,Arkansas County,AR,11.96,82.60000000000001
56,Arlington County,VA,13.71,93.17500000000001
57,Armstrong County,TX,9.56,88.71428571428574
58,Aroostook County,ME,12.62,86.76666666666667
59,Arthur County,NE,7.03,95.73333333333333
60,Ascension Parish,LA,16.38,88.4
61,Ashe County,NC,13.36,82.06666666666666
62,Ashland County,WI,12.25,89.15714285714284
63,Ashley County,AR,13.38,82.6
64,Ashtabula County,OH,18.44,85.5
65,Asotin County,WA,18.35,89.3
66,Assumption Parish,LA,16.69,71.53333333333335
67,Atascosa County,TX,14.31,75.43333333333334
68,Atchison County,MO,7.92,89.58333333333333
69,Athens County,OH,14.17,89.7
70,Atkinson County,GA,15.27,67.3
71,Atlantic County,NJ,11.65,84.65
72,Atoka County,OK,15.07,81.36666666666666
73,Attala County,MS,15.34,74.125
74,Audrain County,MO,12.49,84.5
75,Audubon County,IA,13.27,89.6
76,Auglaize County,OH,19.13,91.875
77,Augusta County,VA,14.01,86.25
78,Aurora County,SD,10.24,87.56
79,Austin County,TX,13.91,82.84
80,Autauga County,AL,18.47,86.35
81,Avery County,NC,12.29,81.4
82,Avoyelles Parish,LA,19.89,73.2
83,Baca County,CO,9.39,86.75
84,Bacon County,GA,14.71,73.85
85,Bailey County,TX,12.54,69.73333333333333
86,Baker County,OR,19.28,83.83636363636363
87,Baldwin County,GA,17.15,84.3
88,Ballard County,KY,17.02,85.0
89,Baltimore city,MD,16.28,80.475
90,Baltimore County,MD,15.84,90.15
91,Bamberg County,SC,14.01,77.15
92,Bandera County,TX,14.44,85.8
93,Banks County,GA,13.51,76.575
94,Banner County,NE,7.55,93.825
95,Bannock County,ID,20.36,91.35
96,Baraga County,MI,15.31,82.02499999999999
97,Barber County,KS,11.62,92.0
98,Barbour County,WV,14.14,77.34285714285713
99,Barnes County,ND,13.04,90.66666666666667
100,Barnstable County,MA,11.42,95.0
101,Barnwell County,SC,13.83,79.39999999999999
102,Barren County,KY,16.16,80.35
103,Barron County,WI,13.46,89.05
104,Barrow County,GA,14.91,80.7
105,Barry County,MO,13.74,86.46666666666665
106,Bartholomew County,IN,18.22,89.67500000000001
107,Barton County,MO,11.75,86.04285714285712
108,Bartow County,GA,15.43,80.175
109,Bastrop County,TX,14.58,80.52000000000001
110,Bates County,MO,11.59,84.55
111,Bath County,VA,10.19,80.06666666666668
112,Baxter County,AR,12.78,86.74000000000001
113,Bay County,MI,19.1,87.9
114,Bayfield County,WI,10.61,93.85
115,Baylor County,TX,11.08,86.13333333333333
116,Beadle County,SD,15.27,83.63333333333333
117,Bear Lake County,ID,18.49,92.025
118,Beaufort County,SC,13.96,88.15
119,Beauregard Parish,LA,11.91,83.975
120,Beaver County,UT,21.8,88.9
121,Beaverhead County,MT,13.97,93.05000000000001
122,Becker County,MN,13.96,90.8
123,Beckham County,OK,15.12,83.9
124,Bedford County,VA,15.06,82.3625
125,Bee County,TX,14.29,71.175
126,Belknap County,NH,11.51,90.6
127,Bell County,TX,15.22,79.47777777777777
128,Belmont County,OH,18.22,88.1
129,Beltrami County,MN,14.33,89.7
130,Ben Hill County,GA,15.6,80.45
131,Benewah County,ID,13.78,86.525
132,Bennett County,SD,11.11,80.15
133,Bennington County,VT,13.55,90.65
134,Benson County,ND,9.02,82.74
135,Bent County,CO,15.07,80.26666666666667
136,Benton County,WA,19.39,86.87878787878788
137,Benzie County,MI,18.29,90.75
138,Bergen County,NJ,11.95,91.5
139,Berkeley County,WV,15.29,86.75714285714285
140,Berks County,PA,14.96,84.8
141,Berkshire County,MA,11.62,90.6
142,Bernalillo County,NM,15.55,87.425
143,Berrien County,MI,17.84,83.64
144,Bertie County,NC,15.86,74.375
145,Bethel Census Area,AK,14.78,79.7
146,Bexar County,TX,15.88,81.7
147,Bibb County,GA,16.66,81.58333333333333
148,Bienville Parish,LA,8.69,82.45
149,Big Horn County,WY,12.02,86.69090909090909
150,Big Stone County,MN,12.99,89.47999999999999
151,Billings County,ND,7.46,89.96666666666668
152,Bingham County,ID,18.96,84.9
153,Black Hawk County,IA,13.98,90.65
154,Blackford County,IN,17.68,86.3
155,Bladen County,NC,15.36,76.25
156,Blaine County,OK,13.6,88.60714285714288
157,Blair County,PA,15.14,90.25999999999999
158,Blanco County,TX,11.46,88.675
159,Bland County,VA,13.21,86.26666666666667
160,Bleckley County,GA,15.88,80.83333333333333
161,Bledsoe County,TN,15.88,75.93333333333334
162,Blount County,TN,15.93,82.33333333333333
163,Blue Earth County,MN,15.42,94.13333333333333
164,Boise County,ID,11.54,91.54999999999998
165,Bolivar County,MS,14.69,74.15
166,Bollinger County,MO,13.81,78.99999999999999
167,Bon Homme County,SD,11.8,88.2
168,Bond County,IL,14.83,87.32000000000002
169,Bonner County,ID,16.68,91.1
170,Bonneville County,ID,20.35,91.0
171,Boone County,WV,14.15,89.55384615384615
172,Borden County,TX,12.97,91.05000000000001
173,Bosque County,TX,11.15,81.73333333333333
174,Bossier Parish,LA,17.59,88.2
175,Bottineau County,ND,9.61,87.75
176,Boulder County,CO,18.2,94.10000000000001
177,Boundary County,ID,17.16,86.0
178,Bourbon County,KY,15.86,84.83333333333333
179,Bowie County,TX,12.77,85.96666666666668
180,Bowman County,ND,9.64,89.39999999999999
181,Box Butte County,NE,14.54,90.325
182,Box Elder County,UT,24.44,91.75
183,Boyd County,NE,9.18,90.44285714285715
184,Boyle County,KY,15.35,85.4
185,Bracken County,KY,16.46,79.8
186,Bradford County,PA,14.42,80.24000000000001
187,Bradley County,TN,15.71,80.375
188,Branch County,MI,21.45,87.36666666666667
189,Brantley County,GA,14.95,77.48333333333333
190,Braxton County,WV,14.11,78.17999999999999
191,Brazoria County,TX,15.7,85.67499999999998
192,Brazos County,TX,14.65,85.2
193,Breathitt County,KY,16.12,66.875
194,Breckinridge County,KY,17.07,78.2
195,Bremer County,IA,14.75,94.3
196,Brevard County,FL,14.95,90.83333333333333
197,Brewster County,TX,11.34,85.26666666666667
198,Briscoe County,TX,9.39,78.85
199,Bristol Bay Borough,AK,14.3,91.6
200,Bristol County,RI,14.33,84.25
201,Broadwater County,MT,13.09,91.33333333333333
202,Bronx County,NY,13.39,70.2
203,Brooke County,WV,13.12,90.03333333333332
204,Brookings County,SD,14.28,93.92500000000001
205,Brooks County,TX,15.12,67.00000000000001
206,Broome County,NY,12.93,89.80000000000001
207,Broomfield County,CO,20.3,95.9
208,Broward County,FL,16.97,88.03333333333335
209,Brown County,WI,15.04,88.15
210,Brule County,SD,11.03,86.85
211,Brunswick County,VA,11.62,76.71428571428571
212,Bryan County,OK,16.82,86.275
213,Buchanan County,VA,13.5,81.225
214,Buckingham County,VA,14.63,70.6
215,Bucks County,PA,14.79,93.1
216,Buena Vista city,VA,14.55,77.0
217,Buena Vista County,IA,13.8,78.05000000000001
218,Buffalo County,WI,13.08,86.67999999999999
219,Bullitt County,KY,17.56,85.1
220,Bulloch County,GA,16.16,86.17499999999998
221,Bullock County,AL,17.16,65.66666666666667
222,Buncombe County,NC,14.84,89.85
223,Bureau County,IL,13.21,89.72
224,Burke County,ND,7.46,80.84999999999998
225,Burleigh County,ND,15.73,93.45
226,Burleson County,TX,11.66,78.30000000000001
227,Burlington County,NJ,12.23,91.4
228,Burnet County,TX,14.19,85.1
229,Burnett County,WI,14.77,91.75
230,Burt County,NE,11.01,90.47500000000001
231,Butler County,PA,14.61,85.8307692307692
232,Butte County,SD,13.48,89.02222222222223
233,Butts County,GA,15.71,76.2
234,Cabarrus County,NC,16.64,87.85
235,Cabell County,WV,14.77,86.59999999999998
236,Cache County,UT,26.38,92.3
237,Caddo County,OK,16.05,84.26666666666667
238,Caddo Parish,LA,16.69,84.75
239,Calaveras County,CA,22.03,92.3
240,Calcasieu Parish,LA,12.34,83.4
241,Caldwell County,TX,16.19,81.24166666666666
242,Caldwell Parish,LA,11.24,75.60000000000001
243,Caledonia County,VT,10.22,89.97500000000001
244,Calhoun County,WV,12.08,81.53157894736843
245,Callahan County,TX,11.27,87.18
246,Callaway County,MO,12.83,86.03333333333335
247,Calloway County,KY,16.33,87.30000000000001
248,Calumet County,WI,13.95,92.53333333333335
249,Calvert County,MD,16.79,92.63333333333333
250,Camas County,ID,7.56,84.65
251,Cambria County,PA,13.71,88.9
252,Camden County,NC,14.67,88.10769230769232
253,Cameron County,TX,15.58,74.38888888888889
254,Cameron Parish,LA,10.7,81.9
255,Camp County,TX,11.6,76.86000000000001
256,Campbell County,WY,12.96,84.35000000000001
257,Canadian County,OK,18.14,91.4
258,Candler County,GA,16.93,74.55
259,Cannon County,TN,14.96,78.76666666666667
260,Canyon County,ID,19.46,82.95
261,Cape Girardeau County,MO,13.62,89.10000000000001
262,Cape May County,NJ,10.6,89.2
263,Carbon County,WY,10.96,89.91666666666667
264,Caribou County,ID,15.86,91.75
265,Carlisle County,KY,14.2,82.53333333333332
266,Carlton County,MN,15.57,93.86666666666667
267,Caroline County,VA,19.68,82.63333333333333
268,Carroll County,VA,12.89,84.51666666666668
269,Carson City,NV,18.78,86.85999999999999
270,Carson County,TX,10.65,91.0
271,Carter County,TN,13.94,84.61666666666666
272,Carteret County,NC,13.92,88.55
273,Carver County,MN,16.39,95.2
274,Cascade County,MT,14.26,90.95
275,Casey County,KY,15.91,70.60000000000001
276,Cass County,TX,12.17,89.63928571428572
277,Cassia County,ID,18.52,79.34
278,Castro County,TX,11.32,70.3
279,Caswell County,NC,14.39,75.94999999999999
280,Catahoula Parish,LA,10.54,73.15
281,Catawba County,NC,16.12,82.525
282,Catoosa County,GA,14.61,83.65
283,Catron County,NM,8.2,89.725
284,Cattaraugus County,NY,12.59,87.8
285,Cavalier County,ND,9.91,89.76666666666667
286,Cayuga County,NY,13.31,86.76666666666667
287,Cecil County,MD,14.0,87.39999999999999
288,Cedar County,NE,10.63,89.72727272727273
289,Centre County,PA,12.77,93.03333333333335
290,Cerro Gordo County,IA,14.76,92.62499999999999
291,Chaffee County,CO,13.17,90.5
292,Chambers County,TX,14.45,79.82222222222222
293,Champaign County,OH,17.75,91.62
294,Chariton County,MO,9.76,85.43333333333332
295,Charles City County,VA,11.39,76.13333333333333
296,Charles County,MD,15.01,91.78
297,Charles Mix County,SD,12.14,86.19999999999999
298,Charleston County,SC,14.82,88.80000000000001
299,Charlevoix County,MI,15.91,92.2
300,Charlotte County,VA,14.5,81.0875
301,Charlottesville city,VA,12.05,88.175
302,Charlton County,GA,15.89,72.225
303,Chase County,NE,12.69,89.75999999999999
304,Chatham County,NC,14.42,86.54285714285713
305,Chattooga County,GA,15.51,70.0
306,Chautauqua County,NY,12.17,87.17142857142858
307,Chaves County,NM,16.68,77.53333333333333
308,Cheatham County,TN,15.16,83.33333333333333
309,Cheboygan County,MI,15.88,88.525
310,Chelan County,WA,17.1,83.23333333333333
311,Chemung County,NY,14.59,89.225
312,Chenango County,NY,11.47,86.625
313,Cherokee County,TX,13.63,82.93043478260869
314,Cherry County,NE,8.92,91.1
315,Chesapeake city,VA,15.38,91.25
316,Cheshire County,NH,11.51,91.53999999999999
317,Chester County,TN,16.29,85.12857142857142
318,Chesterfield County,VA,15.82,82.2
319,Cheyenne County,NE,12.43,92.05
320,Chickasaw County,MS,14.68,80.85000000000001
321,Chicot County,AR,9.68,76.56666666666666
322,Childress County,TX,11.96,85.5
323,Chilton County,AL,17.68,77.525
324,Chippewa County,WI,14.81,89.45384615384616
325,Chisago County,MN,17.44,92.9
326,Chittenden County,VT,13.05,93.61666666666667
327,Choctaw County,OK,15.3,77.90833333333333
328,Chouteau County,MT,9.21,91.35
329,Chowan County,NC,15.35,81.375
330,Christian County,MO,14.2,86.85
331,Churchill County,NV,20.48,88.88
332,Cibola County,NM,15.17,79.3
333,Cimarron County,OK,10.81,81.325
334,Citrus County,FL,15.3,85.78
335,Clackamas County,OR,21.3,93.06666666666666
336,Claiborne County,TN,13.66,76.89999999999999
337,Claiborne Parish,LA,15.45,75.8
338,Clallam County,WA,18.81,91.59999999999998
339,Clare County,MI,19.7,83.83333333333333
340,Clarendon County,SC,16.64,79.2
341,Clarion County,PA,13.41,88.2
342,Clark County,WI,13.47,86.3658536585366
343,Clarke County,VA,13.94,83.21875
344,Clatsop County,OR,17.86,91.4
345,Clay County,WV,13.61,83.20175438596492
346,Clayton County,IA,14.45,85.48333333333333
347,Clear Creek County,CO,13.75,96.85
348,Clearfield County,PA,12.87,86.85
