Rank,School System,State,Enrollment,Overall Total Percentage,Federal Total Percentage,Federal Title I,State Total Percentage,State General Formula Assistance,Local Total Percentage,Local Taxes Parent Government Contributions,Other Local Government,Charges
0,New York County,New York,984462,100,6.9,3.2,37.1,25.2,56,52.1,0,0.2
1,Los Angeles County,California,633621,100,10.8,3.6,62.8,48,26.3,20.2,2,0.8
2,Cook County,Illinois,378199,100,13.4,5,34.4,28.3,52.2,46.5,1.3,0.9
3,Miami-Dade County,Florida,357249,100,12.3,3.8,29.9,10,57.8,52.5,0,3.6
4,Clark County,Nevada,326953,100,9.2,2.9,62.2,18.9,28.6,26.9,0,0.5
5,Broward County,Florida,271852,100,10.9,2.5,38.8,16.7,50.3,43.3,0,4.5
6,Houston County,Texas,216106,100,12.1,3.7,8.1,5.1,79.8,75.9,1.3,0.5
7,Hillsborough County,Florida,214386,100,14.3,3.2,50.5,23.9,35.2,28.7,0,3
8,Orange County,Florida,200674,100,9.6,2.7,34.5,14.8,55.9,48.7,0,2.6
9,Palm Beach County,Florida,192721,100,9.1,2.3,24.5,7.8,66.4,58.4,0,6.2
10,Fairfax County,Virginia,187467,100,4.4,0.7,21.9,16.4,73.6,68.7,1.6,1.9
11,Hawaii County,Hawaii,181550,100,8.9,1.8,89.1,44.1,2,0,0,1.5
12,Gwinnett County,Georgia,178214,100,7.4,2.1,48,30.7,44.6,37.9,1.9,2.7
13,Wake County,North Carolina,160467,100,7.4,1.8,61.1,61.1,31.5,28.5,0,2.1
14,Montgomery County,Maryland,159010,100,3.8,0.8,27.9,11.7,68.3,67.4,0,0.7
15,Dallas County,Texas,157886,100,14.8,3.9,17.7,14.1,67.5,64.8,0,0.5
16,Charlotte/Mecklenburg,North Carolina,147428,100,10.3,3.2,56,55,33.7,29.6,0,2
17,Philadelphia County,Pennsylvania,133929,100,10,4.4,48.9,33.2,41.1,36,0.5,0
18,Prince George's County,Maryland,130814,100,6.4,1.6,53.5,25.7,40.1,37.8,0,0.7
19,Duval County,Florida,129479,100,12,3.3,50.2,25.3,37.8,32.1,0,4
20,San Diego County,California,128040,100,9.1,2.2,33.5,20.3,57.3,49.2,4.1,0.7
21,Harris County,Texas,114868,100,7.5,1.5,31.6,27.8,60.9,55.8,0.1,3.3
22,Cobb County,Georgia,113151,100,6.7,1.8,40.4,17.1,52.8,43.8,2.4,4.7
23,Baltimore County,Maryland,112139,100,5.7,1.5,41.7,20.9,52.6,51.6,0,0.7
24,Shelby County,Tennessee,111403,100,18.4,6.1,39.4,38,42.1,36.1,0.1,2.7
25,Houston County,Texas,106145,100,9.9,1.8,30.1,26.2,60,55.9,0,2.6
26,Pinellas County,Florida,102905,100,10.8,2.6,34.1,13.7,55.2,50.1,0.1,3.1
27,Polk County,Florida,102295,100,12.7,3.2,54.2,27.2,33.1,24.6,0,6.3
28,DeKalb County,Georgia,101284,100,8.1,2.5,39.9,19,52,46,1.9,0.2
29,Jefferson County,Kentucky,99813,100,11.7,3.1,38.8,19.3,49.5,47.3,0.2,0.8
30,Fulton County,Georgia,96122,100,6.2,2.3,30.7,19.1,63.1,54.4,2.7,1.4
31,Lee County,Florida,92686,100,12.2,3,29.4,10.9,58.3,52.5,0,4.2
32,Denver County,Colorado,91138,100,8.8,2.3,26.2,22.1,64.9,53.1,0.2,3.9
33,Bernalillo County,New Mexico,90651,100,11.9,3.5,67.7,62.1,20.4,15.2,0.2,0.8
34,Prince William County,Virginia,89345,100,5.7,1.2,41.1,29.4,53.2,46.2,3.8,2
35,Tarrant County,Texas,"87,428",100,13.3,4,41.2,36.8,45.5,42.5,0,1
36,Jefferson County,Colorado,86371,100,5,1.2,42.1,38.4,52.9,44.2,0.3,7.2
37,Davidson County,Tennessee,85163,100,11.5,3.1,28.1,26.7,60.4,57.9,0,1.8
38,Austin,Texas,83067,100,7.9,1.8,6.2,3.4,85.9,82.6,0,0.9
39,Baltimore County,Maryland,82354,100,11.5,4.1,67.8,27.9,20.8,19.4,0,0.1
40,Anne Arundel County,Maryland,81379,100,4.6,1,36.7,17.3,58.7,57.4,0,0.9
41,Utah County,Utah,78957,100,5.5,1.3,59.5,34.4,35,27.6,0,5.1
42,Loudoun County,Virginia,78348,100,2.1,0.2,27.9,21.4,70.1,65,0.5,2.1
43,Greenville County,South Carolina,76918,100,8.3,2.9,51.5,12.9,40.2,29.9,3.4,4
44,Los Angeles County,California,76428,100,10.1,2.7,65.9,50.6,24,16.1,2,0.6
45,Milwaukee County,Wisconsin,76206,100,14.9,6.1,57.7,44,27.4,18.1,1.5,1
46,Harris County,Texas,75428,100,5.1,0.7,27.9,23.3,66.9,62.2,0,3.5
47,Fort Bend County,Texas,74146,100,6.3,1.2,30,25.8,63.6,60.6,0,2.2
48,Brevard County,Florida,73444,100,10,2.4,45.8,20.6,44.2,38.4,0,3.5
49,Fresno County,California,73356,100,12.1,4.3,75.4,60.2,12.5,9.8,0.8,0.2
50,Guilford County,North Carolina,73059,100,14,3.6,56,55,30.1,27.2,0,1.8
51,Davis County,Utah,72987,100,7.6,1.3,56.9,32.4,35.5,27.8,0,4.3
52,Pasco County,Florida,72493,100,10.4,2.3,54.9,27.3,34.7,26.9,0,3.7
53,Harris County,Texas,69768,100,14.3,3.6,49.5,44.9,36.2,33.5,0,1.3
54,Salt Lake County,Utah,69580,100,11.7,3.3,54,31.4,34.3,28.6,0,3.4
55,Virginia Beach City County,Virginia,69085,100,7.6,1.6,42.8,31.6,49.7,44.9,2.5,1.4
56,Seminole County,Florida,67808,100,8.4,1.9,47.2,22.5,44.4,37.7,0,4.5
57,Tarrant County,Texas,67531,100,7.9,1.7,21,16.9,71.1,66.6,0.1,3.1
58,Douglas County,Colorado,67470,100,2.7,0.3,46.2,42.8,51.1,37.2,0.5,9.5
59,Washoe County,Nevada,66671,100,9.5,2.2,65.3,21.5,25.2,22.5,0.1,1
60,Maricopa County,Arizona,63444,100,12.1,3.6,46.1,45.3,41.9,32.1,4.9,2.4
61,Sacramento County,California,63061,100,7.4,2,72.9,54.5,19.8,16.1,0.1,0.6
62,Osceola County,Florida,63031,100,11.7,2.8,50.5,24.5,37.8,27.2,0.1,3.3
63,Volusia County,Florida,63028,100,10,2.9,43.3,19,46.7,40.9,0.1,3.6
64,Tarrant County,Texas,62181,100,10.3,2.7,39.4,35.2,50.3,47.3,0,1.4
