Rank,School System,State,Enrollment,Total Revenue,Federal Total,Federal Titile I,Federal Special Education,Federal Child Nutrition,Federal Other and Nonspecified,State Total,State General Formula Assistance,State Special Education,State Transportation,State Other and Nonspecified,Local Total,Local Total Taxes,Local Property Taxes,Local Parent Government Contribution,Local From Cities and Counties,Local From Other School Systems,grad_rate
0,New York City,New York,984462,29855533,2061297,956851,0.2534653445232015,0.44614114104962915,415710,11072732,7510143,2.2443964317566345,0.0,1353066,16721504,0,0.0,15561558,0,0,87.0
1,Los Angeles Unified,California,633621,10578715,1146298,376182,0.2451670635916423,0.6166320245067635,224062,6646350,5082293,0.5776181660645717,0.0,1198066,2786067,2137493,3.373456687830738,0,119183,90103,77.7
2,Chicago,Illinois,378199,5840203,783943,290912,0.24615612415685922,0.530189133234091,199418,2008059,1653504,0.0,0.0,354555,3048201,2714956,7.1786440471815105,0,73219,0,85.8
3,Miami-Dade County,Florida,357249,3679802,451479,139461,0.21846947087325647,0.38655951451228693,95872,1100104,369587,0.20874516093816917,0.019216288918933292,649078,2128219,1931294,5.406016531886723,0,0,422,80.6
4,Clark County,Nevada,326953,3359206,309987,97919,0.1335360128214147,0.34756371710918693,54771,2089442,635176,0.3513807795004175,0.0,1339381,959777,904177,2.7551085324190328,0,1085,500,84.9
5,Broward County,Florida,271852,2710577,295473,67179,0.21185792269323014,0.31520827509085825,85010,1052300,453471,0.41682974559686886,0.0570935656165855,469992,1362804,1172362,4.312500919618027,0,0,616,88.3
6,Houston,Texas,216106,2467450,298648,91977,0.17539078045033457,0.5257558790593505,55149,198858,125638,0.0,0.0,73220,1969944,1872214,8.663405921168316,0,31631,0,82.4
7,Hillsborough County,Florida,214386,2121511,302331,68690,0.21044284608136726,0.40138348586194994,102474,1071868,506790,0.6333669176158891,0.10141986883471868,407550,747312,609578,2.699821816723107,0,0,0,87.8
8,Orange County,Florida,200674,2331075,223697,63326,0.204346352791094,0.4251223377218773,34053,805357,344208,0.3611828139170994,0.07645733876835066,373326,1302021,1135789,4.494433758234749,0,0,782,87.7
9,Palm Beach County,Florida,192721,2188847,199694,51170,0.2107813886395359,0.36112307428873863,38306,535749,170098,0.23984412700224678,0.03716771913802855,312265,1453404,1277645,6.303853757504371,0,0,245,87.9
10,Fairfax County,Virginia,187467,2855683,126916,21035,0.1921191463030827,0.1967599630868366,32979,626758,469348,0.25619442355187844,0.0,109382,2102009,0,0.0,1961196,0,45944,91.7
11,Hawaii Public Schools,Hawaii,181550,2844167,252145,50391,0.22737537868355825,0.30212062792619115,105624,2534177,1252872,2.8265216193885982,0.3418342054530432,706090,57845,0,0.0,0,0,0,91.6
12,Gwinnett County,Georgia,178214,1972752,145818,42114,0.1632363338458258,0.37225470501756314,8272,946654,604789,0.7442737383146105,0.029969587125590582,203884,880280,747236,3.2827667859988554,0,36602,861,87.5
13,Wake County,North Carolina,160467,1440668,106392,26537,0.18863691600142085,0.1931549789053201,18590,880794,879943,0.0,0.0,851,453482,0,0.0,409911,0,0,92.3
14,Montgomery County,Maryland,159010,3089537,116366,24555,0.1784604741840136,0.24253191623168355,24869,862176,361504,0.3470159109489969,0.2574177724671404,404561,2110995,0,0.0,2081378,0,0,91.2
15,Dallas,Texas,157886,1915292,282730,74407,0.17195951509316848,0.6705851057091826,75297,339046,270613,0.0,0.0,68433,1293516,1241293,7.861957361640678,0,0,0,78.0
16,Charlotte/Mecklenburg,North Carolina,147428,1443941,149059,45712,0.2193952302140706,0.34545676533629976,20072,808325,794082,0.0,0.0,14243,486557,0,0.0,427955,0,0,89.6
17,Philadelphia,Pennsylvania,133929,3217491,321363,140449,0.0,0.6015575416825333,100348,1574767,1066993,1.0360489513100224,0.5018479940864189,301805,1321361,1157797,5.341912505879981,0,14990,9,82.0
18,Prince Georges County,Maryland,130814,2264929,145542,36774,0.2129206354059963,0.4334016236794227,24220,1210795,581671,0.5000458666503586,0.3051355359518094,523795,908592,0,0.0,856585,0,0,85.8
19,Duval County,Florida,129479,1231819,148120,41233,0.2802925570942006,0.39020227218313397,20072,618022,311231,0.6116281404706555,0.09763745472238741,214956,465677,395992,3.0384618355100055,0,0,0,88.9
20,San Diego Unified,California,128040,1829726,167351,40613,0.19371290221805687,0.438815995001562,45749,613546,371891,0.48120118712902216,0.0,180042,1048829,899775,7.027296157450797,0,69046,6641,86.4
21,Cypress-Fairbanks,Texas,114868,1196041,89206,18384,0.14837900894940279,0.31150538008844936,17996,378394,331983,0.0,0.0,46411,728441,667475,5.810800222864505,0,0,793,80.2
22,Cobb County,Georgia,113151,1313927,88228,23853,0.1899055244761425,0.2768866382091188,11557,531330,225017,0.8253219149631907,0.045894424264920325,207734,694369,575804,3.7924720064338806,0,32068,0,91.2
23,Baltimore County,Maryland,112139,1840240,105625,28301,0.230009185029294,0.27979561080444804,20155,767249,383989,0.47895914891340213,0.2719927946566315,299049,967366,0,0.0,950077,0,0,90.6
24,Shelby County,Tennessee,111403,1272594,234529,77236,0.25729109629004604,0.7088767806971087,49659,501891,484006,0.0,0.0,17885,536174,0,0.0,459389,0,1149,87.1
25,Northside,Texas,106145,1143346,112764,20958,0.18725328559988694,0.28903857930189836,41250,344252,299888,0.0,0.0,44364,686330,638591,6.016213669979745,0,0,79,82.4
26,Pinellas County,Florida,102905,1055688,113961,27477,0.2739517030270638,0.38835819445119285,18329,359483,144891,0.39349885817015695,0.050036441377969976,168950,582244,529240,5.142995967154171,0,0,679,88.7
27,Polk County,Florida,102295,1009869,128181,32278,0.18760447724717727,0.46330710200889585,29318,547005,274311,0.6109291754240188,0.16593186372745491,193225,334683,248392,2.0073708392394547,0,0,0,84.0
28,DeKalb County,Georgia,101284,1244172,100607,30552,0.17588167923857667,0.4392204099364164,7755,496839,236645,0.7412819398917895,0.04565380514197701,180490,646726,572005,4.417212985269145,0,23599,0,88.6
29,Jefferson County,Kentucky,99813,1349412,158335,41885,0.2237684469958823,0.5540160099385851,38817,523343,260407,0.0,0.0003606744612425235,262900,667734,638902,4.83417991644375,0,1922,179,89.3
30,Fulton County,Georgia,96122,1294478,79910,30351,0.17149039761969165,0.2713946859199767,6988,397464,247208,0.4506980712011818,0.050623166392709265,102068,817104,704434,5.5954204032375525,0,34885,0,90.9
31,Lee County,Florida,92686,959274,117407,28822,0.1953693114386207,0.448179876140949,28937,282189,104307,0.2890512051442505,0.07857713138985392,143808,559678,503664,5.434089290723518,0,0,27,87.0
32,Denver,Colorado,91138,1351162,119226,31710,0.18091246241962738,0.401084070310957,34474,354505,298965,0.1862340626302969,0.06508810814369417,32635,877431,717451,7.8721389541135425,0,2847,193,86.4
33,Albuquerque,New Mexico,90651,1056875,125521,36776,0.3009233213091968,0.0003199082194349759,61437,715843,656699,0.0001875324044963652,0.20124433266042294,40884,215511,160565,1.771243560468169,0,1691,0,88.1
34,Prince William County,Virginia,89345,1202380,68000,13980,0.1635458055850915,0.27961273714253737,14426,494354,353422,0.49594269405115005,0.0,96622,640026,0,0.0,556002,0,45510,89.0
36,Jefferson County,Colorado,86371,925038,45946,10958,0.16621319655903022,0.15622141691076866,7139,389329,355448,0.16859825635919465,0.05658149147283232,14432,489763,408766,4.732676477058272,0,1430,1661,94.2
37,Nashville-Davidson County,Tennessee,85163,1044718,120235,31889,0.2503786855794183,0.5868041285534797,17049,293150,279032,0.0,0.0,14118,631333,0,0.0,605160,0,288,87.5
38,Austin,Texas,83067,1412220,111614,25200,0.1720298072640158,0.3429039209312964,43640,86863,47584,0.0,0.0,39279,1213743,1166292,14.040377045035935,0,0,0,82.4
39,Baltimore,Maryland,82354,1415593,162251,58673,0.26808655317288776,0.6200305996065765,30438,959194,395307,0.7747650387352163,0.23572625494815067,480669,294148,0,0.0,274581,0,0,90.6
40,Anne Arundel County,Maryland,81379,1276972,58216,12758,0.2199093132134826,0.20682239889897885,10731,469274,220957,0.33847798572113197,0.28631465119994104,197472,749482,0,0.0,732821,0,0,91.9
41,Alpine,Utah,78957,622816,34283,8173,0.12889294172777588,0.12378889775447395,6159,370427,214437,0.4279417911014856,0.1158352014387578,113055,218106,171958,2.177868966652735,0,0,243,93.3
42,Loudoun County,Virginia,78348,1163229,23931,2180,0.12329606371572982,0.10672895287690816,3729,324345,249207,0.2645504671465768,0.0,54411,814953,0,0.0,756295,0,5245,93.5
43,Greenville County,South Carolina,76918,903136,75126,26081,0.224316804909124,0.31961309446423464,7207,464852,116413,0.28955511063730205,0.0629241529940976,321327,363158,270401,3.5154450193712785,0,30198,95,86.9
44,Long Beach Unified,California,76428,1090404,110084,29158,0.19937719160517087,0.39231695190244414,35704,718731,552222,0.5185534097451195,0.0,126877,261589,175517,2.2965012822525774,0,20873,514,77.7
